state initials,county name,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,year
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
LA,Ascension Parish,852,918,1087,1385,1698,2021
LA,East Baton Rouge Parish,852,918,1087,1385,1698,2021
LA,East Feliciana Parish,852,918,1087,1385,1698,2021
LA,Livingston Parish,852,918,1087,1385,1698,2021
LA,Pointe Coupee Parish,852,918,1087,1385,1698,2021
LA,St. Helena Parish,852,918,1087,1385,1698,2021
LA,West Baton Rouge Parish,852,918,1087,1385,1698,2021
LA,West Feliciana Parish,852,918,1087,1385,1698,2021
LA,Iberville Parish,685,746,869,1165,1345,2021
MI,Calhoun County,591,707,895,1149,1228,2021
MI,Bay County,544,626,825,1085,1132,2021
TX,Hardin County,702,752,935,1217,1280,2021
TX,Jefferson County,702,752,935,1217,1280,2021
TX,Orange County,702,752,935,1217,1280,2021
TX,Newton County,553,592,734,1004,1007,2021
WV,Fayette County,551,597,713,963,967,2021
WV,Raleigh County,631,664,759,1044,1296,2021
WA,Whatcom County,951,1020,1306,1869,2261,2021
OR,Deschutes County,907,1113,1354,1938,2344,2021
MT,Carbon County,672,773,1019,1408,1674,2021
MT,Yellowstone County,672,773,1019,1408,1674,2021
MT,Golden Valley County,563,648,854,1222,1403,2021
NY,Broome County,662,685,886,1170,1344,2021
NY,Tioga County,662,685,886,1170,1344,2021
AL,Bibb County,891,950,1093,1421,1537,2021
AL,Blount County,891,950,1093,1421,1537,2021
AL,Jefferson County,891,950,1093,1421,1537,2021
AL,St. Clair County,891,950,1093,1421,1537,2021
AL,Shelby County,891,950,1093,1421,1537,2021
AL,Chilton County,657,691,788,1128,1172,2021
AL,Walker County,575,579,763,949,1035,2021
ND,Burleigh County,764,769,945,1352,1544,2021
ND,Morton County,764,769,945,1352,1544,2021
ND,Oliver County,615,619,761,1073,1225,2021
ND,Sioux County,553,557,734,913,1141,2021
VA,Montgomery County,854,922,1051,1504,1820,2021
VA,Radford city,854,922,1051,1504,1820,2021
VA,Floyd County,618,633,721,1032,1248,2021
VA,Giles County,531,690,787,1035,1158,2021
VA,Pulaski County,657,671,767,1069,1268,2021
IL,McLean County,644,729,911,1298,1577,2021
IL,De Witt County,495,557,700,981,985,2021
IN,Monroe County,721,792,981,1349,1698,2021
IN,Owen County,595,599,754,1072,1305,2021
PA,Columbia County,737,742,881,1096,1267,2021
PA,Montour County,770,775,952,1286,1291,2021
ID,Ada County,718,842,1054,1494,1732,2021
ID,Boise County,718,842,1054,1494,1732,2021
ID,Canyon County,718,842,1054,1494,1732,2021
ID,Owyhee County,718,842,1054,1494,1732,2021
ID,Gem County,630,736,922,1212,1333,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
MA,Essex County,1842,2034,2470,3072,3349,2021
